,Temperature,Humidity,Cloudiness,Wind_speed,Latitude
172,50.0,100,90,10.29,-33.86
173,81.86,82,66,4.7,25.81
174,71.58,67,2,11.36,66.77
175,82.85,88,75,17.22,21.32
176,54.2,98,96,1.07,9.57
177,68.0,82,40,6.93,38.52
178,67.46,40,88,6.4,68.06
179,82.26,72,4,3.6,18.56
180,70.32,91,2,2.1,0.05
181,46.4,87,40,24.61,69.35
182,83.84,78,85,16.22,11.67
183,77.0,88,20,4.7,5.79
184,50.47,87,0,2.86,-30.17
185,73.33,79,19,13.42,14.9
186,73.4,60,20,3.36,53.82
187,70.29,87,87,2.17,62.1
188,51.3,47,29,4.27,-13.61
189,55.4,54,40,6.93,69.44
190,47.97,68,77,9.55,66.56
191,49.3,38,0,4.85,35.92
192,56.79,87,90,6.71,59.7
193,51.37,66,75,17.22,62.45
194,50.33,86,5,3.89,-15.83
195,75.2,94,0,3.42,4.94
196,63.63,87,72,0.31,54.34
197,66.22,68,32,1.74,0.3
198,57.2,67,0,9.82,-23.0
199,77.0,83,0,13.87,-12.93
200,81.73,83,20,10.29,18.22
201,62.58,25,0,3.85,34.1
202,53.6,81,67,4.25,53.14
203,52.92,93,75,4.7,60.8
204,54.2,77,41,3.89,-8.57
205,83.09,60,100,5.28,11.24
206,65.89,94,40,5.82,45.71
207,73.4,94,75,4.7,-8.65
208,50.0,81,75,2.24,78.22
209,83.16,73,98,9.62,-2.02
210,72.75,69,1,6.93,41.14
211,94.48,8,1,12.53,20.2
212,60.06,100,75,4.7,53.53
213,62.6,82,40,10.29,54.32
214,49.77,76,0,1.12,49.66
215,47.79,86,100,5.41,53.59
216,52.3,71,50,4.7,61.99
217,84.74,26,75,14.99,28.39
218,35.6,68,39,8.05,65.61
219,78.17,88,75,9.17,35.19
220,75.67,92,99,4.52,5.48
221,78.8,100,90,6.93,26.89
222,55.18,71,75,5.82,63.75
223,50.0,95,99,3.0,60.67
224,67.44,32,75,14.99,50.2
225,80.53,78,0,4.7,35.84
226,68.74,96,42,3.96,-11.81
227,73.19,80,2,1.34,-0.13
228,68.0,60,90,6.71,65.95
229,51.8,98,95,3.04,49.65
230,72.77,73,1,5.82,39.31
231,67.05,73,72,4.09,49.2
232,69.96,76,75,13.22,-17.73
233,79.45,93,100,1.99,23.91
